execution,points,h,w,CS_of,CS_time
9,505,3,28,5.58334,228.74
10,505,3,28,5.64286,855.79
1,505,3,32,8.72917,236.02
2,505,3,32,8.72917,237.03
3,505,3,32,8.72917,2180.63
4,505,3,32,8.69792,2727.12
5,505,3,32,8.69792,1176.9
6,505,3,32,8.71875,2492.43
7,505,3,32,8.8125,155.69
8,505,3,32,8.69792,423.82
9,505,3,32,9.1875,442.35
10,505,3,32,8.72917,160.52
1,505,4,16,3.20313,218.56
2,505,4,16,3.20313,916.08
3,505,4,16,3.20313,240.27
4,505,4,16,3.20313,141.74
5,505,4,16,3.20313,203.49
6,505,4,16,3.20313,177.11
7,505,4,16,3.20313,225.25
8,505,4,16,3.20313,404.85
9,505,4,16,3.20313,192.43
10,505,4,16,3.20313,204.45
1,505,4,18,4.70833,199.54
2,505,4,18,4.70833,333.48
3,505,4,18,4.70833,771.89
4,505,4,18,4.83334,111.54
5,505,4,18,4.70833,448.28
6,505,4,18,4.70833,146.0
7,505,4,18,4.70833,1918.76
8,505,4,18,4.70833,239.88
9,505,4,18,4.70833,296.68
10,505,4,18,4.84722,839.56
1,505,4,21,7.80952,760.19
2,505,4,21,7.88095,270.26
3,505,4,21,7.86905,209.01
4,505,4,21,7.82143,311.77
5,505,4,21,7.86905,436.16
6,505,4,21,7.79762,177.98
7,505,4,21,7.88095,1174.79
8,505,4,21,7.79762,727.87
9,505,4,21,7.80952,2653.28
10,505,4,21,7.79762,529.87
1,505,4,24,12.44792,215.44
2,505,4,24,12.46875,302.48
3,505,4,24,12.38542,1302.73
4,505,4,24,12.42709,535.07
5,505,4,24,12.34375,2747.34
6,505,4,24,12.41667,2644.38
7,505,4,24,12.5,1143.59
8,505,4,24,12.64584,1392.91
9,505,4,24,12.47917,233.0
10,505,4,24,12.54167,1223.87
1,5046,2,24,19.541666,3465.29
2,5046,2,24,19.270833,1084.45
3,5046,2,24,19.479169,3230.44
4,5046,2,24,19.624995,3177.56
5,5046,2,24,19.333331,2616.57
6,5046,2,24,19.270831,2810.1
7,5046,2,24,19.562498,2018.64
8,5046,2,24,19.020832,2632.66
9,5046,2,24,20.437501,1680.93
10,5046,2,24,19.229167,1329.24
1,5046,2,32,43.98438,2967.91
2,5046,2,32,43.82813,2745.19
3,5046,2,32,43.40625,3248.82
4,5046,2,32,43.46875,2888.2
5,5046,2,32,43.54688,3344.3
6,5046,2,32,44.34375,3513.94
7,5046,2,32,43.625,3125.81
8,5046,2,32,43.60938,3508.64
9,5046,2,32,43.45313,2636.58
10,5046,2,32,43.64063,2199.27
1,5046,2,42,84.29762,3597.83
2,5046,2,42,85.30952,3501.37
3,5046,2,42,84.5,3547.72
4,5046,2,42,84.55952,2443.72
5,5046,2,42,84.59524,3365.55
6,5046,2,42,84.96429,2386.2
7,5046,2,42,84.72619,2539.62
8,5046,2,42,85.16667,3171.65
9,5046,2,42,85.11904,2057.46
10,5046,2,42,84.96428,2855.55
1,5046,2,48,114.125,2649.54
2,5046,2,48,115.88542,3102.89
3,5046,2,48,115.30208,3026.45
4,5046,2,48,114.47917,3427.76
5,5046,2,48,116.27084,3530.27
6,5046,2,48,115.05209,3358.58
7,5046,2,48,115.88542,3521.82
8,5046,2,48,115.71875,3471.45
9,5046,2,48,116.60418,3599.14
10,5046,2,48,116.44792,3382.62
1,5046,3,16,27.52084,3031.97
2,5046,3,16,27.50001,2861.13
3,5046,3,16,27.50001,3001.89
4,5046,3,16,27.81251,3317.29
5,5046,3,16,28.31251,2735.98
6,5046,3,16,27.60417,3358.99
7,5046,3,16,28.58334,2464.02
8,5046,3,16,27.33334,1608.63
9,5046,3,16,28.1875,3270.88
10,5046,3,16,28.02084,3067.0
1,5046,3,24,83.77779,3146.23
2,5046,3,24,84.20834,2764.63
3,5046,3,24,85.15278,2805.89
4,5046,3,24,84.86112,3585.21
5,5046,3,24,84.87501,3414.46
6,5046,3,24,85.09724,3521.55
7,5046,3,24,85.87501,3363.46
8,5046,3,24,84.48613,3097.1
9,5046,3,24,85.61113,2187.22
10,5046,3,24,84.5139,3406.39
1,5046,3,28,123.78571,3505.55
2,5046,3,28,123.65476,3537.36
3,5046,3,28,124.09524,3390.92
4,5046,3,28,124.19047,3556.95
5,5046,3,28,123.86905,3529.47
6,5046,3,28,124.32142,3514.53
7,5046,3,28,124.70238,3362.98
8,5046,3,28,125.28572,2977.03
9,5046,3,28,123.21429,3460.38
10,5046,3,28,123.45238,2533.23
1,5046,3,32,165.70833,3551.22
2,5046,3,32,168.14584,3455.76
3,5046,3,32,165.59375,3494.09
4,5046,3,32,167.54167,3579.35
5,5046,3,32,166.67708,3555.9
6,5046,3,32,166.95834,3500.99
7,5046,3,32,166.32292,3423.47
8,5046,3,32,169.10417,3598.58
9,5046,3,32,169.07291,3161.27
10,5046,3,32,167.67709,3446.5
1,5046,4,16,77.29688,3561.87
2,5046,4,16,77.0625,3327.31
3,5046,4,16,76.92188,3496.04
4,5046,4,16,78.21875,3174.11
5,5046,4,16,78.1875,2544.71
